iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_vaccinations_per_hundred,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,Date_New,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ISR,Asia,Israel,2020-02-20, , , , , , , , , , , , , , , , , , , , , , ,29,29,.003,.003, , , , ,tests performed,2020-02-20, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-02-21,1,1, , , , ,.116, ,.116, , , , , , , , , , , , , ,28,57,.007,.003, , , , ,tests performed,2020-02-21, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-02-22,1,0, , , , ,.116, ,0, , , , , , , , , , , , , ,13,70,.008,.002, , , , ,tests performed,2020-02-22, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-02-23,1,0, , , , ,.116, ,0, , , , , , , , , , , , , ,56,126,.015,.006, , , , ,tests performed,2020-02-23, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-02-24,1,0, , , , ,.116, ,0, , , , , , , , , , , , , ,75,201,.023,.009, , , , ,tests performed,2020-02-24, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-02-25,1,0, , , , ,.116, ,0, , , , , , , , , , , , , ,108,309,.036,.012, , , , ,tests performed,2020-02-25, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-02-26,2,1,.286, , ,0,.231, ,.116,.033, , ,0, , , , , , , , , ,108,417,.048,.012, , , , ,tests performed,2020-02-26, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-02-27,3,1,.429, , ,0,.347, ,.116,.05, , ,0, , , , , , , , , ,171,588,.068,.02,80,.009,.005,186.5,tests performed,2020-02-27, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-02-28,6,3,.714, , ,0,.693, ,.347,.083, , ,0, , , , , , , , , ,118,706,.082,.014,93,.011,.008,130.3,tests performed,2020-02-28, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-02-29,6,0,.714, , ,0,.693, ,0,.083, , ,0, , , , , , , , , ,158,864,.1,.018,113,.013,.006,158.3,tests performed,2020-02-29, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-03-01,7,1,.857, , ,0,.809, ,.116,.099, , ,0, , , , , , , , , ,187,1051,.121,.022,132,.015,.006,154,tests performed,2020-03-01, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-03-02,12,5,1.571, , ,0,1.386, ,.578,.182, , ,0, , , ,10,1.155, , , , ,171,1222,.141,.02,146,.017,.011,92.9,tests performed,2020-03-02, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-03-03,15,3,2, , ,0,1.733, ,.347,.231, , ,0, , , ,10,1.155, , , , ,235,1457,.168,.027,164,.019,.012,82,tests performed,2020-03-03, , , , , , , , ,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-03-04,15,0,1.857, , ,0,1.733, ,0,.215, , ,0, , , ,12,1.386, , , , ,129,1586,.183,.015,167,.019,.011,89.9,tests performed,2020-03-04, , , , , , , , ,33.33,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-03-05,21,6,2.571, , ,0,2.426, ,.693,.297, , ,0, , , ,13,1.502, , , , ,173,1759,.203,.02,167,.019,.015,65,tests performed,2020-03-05, , , , , , , , ,33.33,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-03-06,37,16,4.429, , ,0,4.275, ,1.849,.512, , ,0, , , ,16,1.849, , , , ,274,2033,.235,.032,190,.022,.023,42.9,tests performed,2020-03-06, , , , , , , , ,33.33,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-03-07,47,10,5.857, , ,0,5.43, ,1.155,.677, , ,0, , , ,20,2.311, , , , ,336,2369,.274,.039,215,.025,.027,36.7,tests performed,2020-03-07, , , , , , , , ,33.33,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
ISR,Asia,Israel,2020-03-08,56,9,7, , ,0,6.47, ,1.04,.809, , ,0, , , ,27,3.119,5,.578,22,2.542,421,2790,.322,.049,248,.029,.028,35.4,tests performed,2020-03-08, , , , , , , , ,33.33,8655541,402.606,30.6,11.733,7.359,33132.32,.5,93.32,6.74,15.4,35.4, ,2.99,82.97,.919
