iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,VAR00001,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
GBR,Europe,United Kingdom,2020-01-31,2,2, , , , ,.029,.029, , , , , , , , , , , , , , , , , , , , , , ,2020-01-31, , , , , , , , , ,8.33,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
GBR,Europe,United Kingdom,2020-02-01,2,0, , , , ,.029,0, , , , , , , , , , , , , , , , , , , , , , ,2020-02-01, , , , , , , , , ,8.33,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
GBR,Europe,United Kingdom,2020-02-02,2,0, , , , ,.029,0, , , , , , , , , , , , , , , , , , , , , , ,2020-02-02, , , , , , , , , ,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
GBR,Europe,United Kingdom,2020-02-03,8,6, , , , ,.118,.088, , , , , , , , , , , , , , , , , , , , , , ,2020-02-03, , , , , , , , , ,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
GBR,Europe,United Kingdom,2020-02-04,8,0, , , , ,.118,0, , , , , , , , , , , , , , , , , , , , , , ,2020-02-04, , , , , , , , , ,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
GBR,Europe,United Kingdom,2020-02-05,9,1,1.286, , ,0,.133,.015,.019, , ,0, , , , , , , , , , , , , , , , , , ,2020-02-05, , , , , , , , , ,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
GBR,Europe,United Kingdom,2020-02-06,9,0,1.286, , ,0,.133,0,.019, , ,0, , , , , , , , , , , , , , , , , , ,2020-02-06, , , , , , , , , ,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
GBR,Europe,United Kingdom,2020-02-07,9,0,1, , ,0,.133,0,.015, , ,0, , , , , , , , , , , , , , , , , , ,2020-02-07, , , , , , , , , ,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
GBR,Europe,United Kingdom,2020-02-08,13,4,1.571, , ,0,.191,.059,.023, , ,0, , , , , , , , , , , , , , , , , , ,2020-02-08, , , , , , , , , ,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
GBR,Europe,United Kingdom,2020-02-09,14,1,1.714, , ,0,.206,.015,.025, , ,0, , , , , , , , , , , , , , , , , , ,2020-02-09, , , , , , , , , ,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,.2,122.137,4.28,20,24.7, ,2.54,81.32,.932
