location,ArrivalDate,ToDate,Date
Lesotho,5/13/2020,5/31/2021,383
Tajikistan,4/30/2020,5/31/2021,396
Comoros,4/23/2020,5/31/2021,403
Sao Tome and Principe,4/12/2020,5/31/2021,414
Yemen,4/10/2020,5/31/2021,416
South Sudan,4/5/2020,5/31/2021,421
Western Sahara,4/4/2020,5/31/2021,422
Falkland Islands,4/3/2020,5/31/2021,423
Malawi,4/2/2020,5/31/2021,424
Bonaire Sint Eustatius and Saba,3/31/2020,5/31/2021,426
Burundi,3/31/2020,5/31/2021,426
Sierra Leone,3/31/2020,5/31/2021,426
Botswana,3/30/2020,5/31/2021,427
Northern Mariana Islands,3/28/2020,5/31/2021,429
Anguilla,3/26/2020,5/31/2021,431
British Virgin Islands,3/25/2020,5/31/2021,432
Guinea-Bissau,3/25/2020,5/31/2021,432
Mali,3/25/2020,5/31/2021,432
Saint Kitts and Nevis,3/25/2020,5/31/2021,432
Laos,3/24/2020,5/31/2021,433
Libya,3/24/2020,5/31/2021,433
Belize,3/23/2020,5/31/2021,434
Myanmar,3/23/2020,5/31/2021,434
Turks and Caicos Islands,3/23/2020,5/31/2021,434
Dominica,3/22/2020,5/31/2021,435
Mozambique,3/22/2020,5/31/2021,435
Syria,3/22/2020,5/31/2021,435
Angola,3/21/2020,5/31/2021,436
Eritrea,3/21/2020,5/31/2021,436
Timor,3/21/2020,5/31/2021,436
Cape Verde,3/20/2020,5/31/2021,437
Papua New Guinea,3/20/2020,5/31/2021,437
Zimbabwe,3/20/2020,5/31/2021,437
Chad,3/19/2020,5/31/2021,438
Fiji,3/19/2020,5/31/2021,438
Haiti,3/19/2020,5/31/2021,438
Isle of Man,3/19/2020,5/31/2021,438
Niger,3/19/2020,5/31/2021,438
Bermuda,3/18/2020,5/31/2021,439
El Salvador,3/18/2020,5/31/2021,439
Kyrgyzstan,3/18/2020,5/31/2021,439
Montserrat,3/18/2020,5/31/2021,439
New Caledonia,3/18/2020,5/31/2021,439
Nicaragua,3/18/2020,5/31/2021,439
Uganda,3/18/2020,5/31/2021,439
Zambia,3/18/2020,5/31/2021,439
Barbados,3/17/2020,5/31/2021,440
Gambia,3/17/2020,5/31/2021,440
Montenegro,3/17/2020,5/31/2021,440
Sint Maarten (Dutch part),3/17/2020,5/31/2021,440
Benin,3/16/2020,5/31/2021,441
Greenland,3/16/2020,5/31/2021,441
Grenada,3/16/2020,5/31/2021,441
Liberia,3/16/2020,5/31/2021,441
Somalia,3/16/2020,5/31/2021,441
Tanzania,3/16/2020,5/31/2021,441
Bahamas,3/15/2020,5/31/2021,442
Guam,3/15/2020,5/31/2021,442
Uzbekistan,3/15/2020,5/31/2021,442
Central African Republic,3/14/2020,5/31/2021,443
Djibouti,3/14/2020,5/31/2021,443
Equatorial Guinea,3/14/2020,5/31/2021,443
Rwanda,3/14/2020,5/31/2021,443
Swaziland,3/14/2020,5/31/2021,443
Aruba,3/13/2020,5/31/2021,444
Curacao,3/13/2020,5/31/2021,444
Ethiopia,3/13/2020,5/31/2021,444
Guatemala,3/13/2020,5/31/2021,444
Guinea,3/13/2020,5/31/2021,444
Kazakhstan,3/13/2020,5/31/2021,444
Kenya,3/13/2020,5/31/2021,444
Kosovo,3/13/2020,5/31/2021,444
Madagascar,3/13/2020,5/31/2021,444
Mauritania,3/13/2020,5/31/2021,444
Puerto Rico,3/13/2020,5/31/2021,444
Saint Lucia,3/13/2020,5/31/2021,444
Sudan,3/13/2020,5/31/2021,444
Suriname,3/13/2020,5/31/2021,444
United States Virgin Islands,3/13/2020,5/31/2021,444
Uruguay,3/13/2020,5/31/2021,444
Venezuela,3/13/2020,5/31/2021,444
Cayman Islands,3/12/2020,5/31/2021,445
Gabon,3/12/2020,5/31/2021,445
Ghana,3/12/2020,5/31/2021,445
Trinidad and Tobago,3/12/2020,5/31/2021,445
Cote d'Ivoire,3/11/2020,5/31/2021,446
French Polynesia,3/11/2020,5/31/2021,446
Guyana,3/11/2020,5/31/2021,446
Namibia,3/11/2020,5/31/2021,446
Saint Vincent and the Grenadines,3/11/2020,5/31/2021,446
Seychelles,3/11/2020,5/31/2021,446
Turkey,3/11/2020,5/31/2021,446
Antigua and Barbuda,3/10/2020,5/31/2021,447
Bolivia,3/10/2020,5/31/2021,447
Congo,3/10/2020,5/31/2021,447
Democratic Republic of Congo,3/10/2020,5/31/2021,447
Honduras,3/10/2020,5/31/2021,447
Jamaica,3/10/2020,5/31/2021,447
Jersey,3/10/2020,5/31/2021,447
Mongolia,3/10/2020,5/31/2021,447
Brunei,3/9/2020,5/31/2021,448
Burkina Faso,3/9/2020,5/31/2021,448
Cyprus,3/9/2020,5/31/2021,448
Guernsey,3/9/2020,5/31/2021,448
Panama,3/9/2020,5/31/2021,448
Albania,3/8/2020,5/31/2021,449
Bangladesh,3/8/2020,5/31/2021,449
Bulgaria,3/8/2020,5/31/2021,449
Maldives,3/7/2020,5/31/2021,450
Malta,3/7/2020,5/31/2021,450
Moldova,3/7/2020,5/31/2021,450
Paraguay,3/7/2020,5/31/2021,450
Bhutan,3/6/2020,5/31/2021,451
Cameroon,3/6/2020,5/31/2021,451
Colombia,3/6/2020,5/31/2021,451
Costa Rica,3/6/2020,5/31/2021,451
Peru,3/6/2020,5/31/2021,451
Serbia,3/6/2020,5/31/2021,451
Slovakia,3/6/2020,5/31/2021,451
Togo,3/6/2020,5/31/2021,451
Bosnia and Herzegovina,3/5/2020,5/31/2021,452
Palestine,3/5/2020,5/31/2021,452
Vatican,3/5/2020,5/31/2021,452
Faeroe Islands,3/4/2020,5/31/2021,453
Gibraltar,3/4/2020,5/31/2021,453
Hungary,3/4/2020,5/31/2021,453
Poland,3/4/2020,5/31/2021,453
Slovenia,3/4/2020,5/31/2021,453
Argentina,3/3/2020,5/31/2021,454
Chile,3/3/2020,5/31/2021,454
Liechtenstein,3/3/2020,5/31/2021,454
Ukraine,3/3/2020,5/31/2021,454
Andorra,3/2/2020,5/31/2021,455
Georgia,3/2/2020,5/31/2021,455
Indonesia,3/2/2020,5/31/2021,455
Jordan,3/2/2020,5/31/2021,455
Latvia,3/2/2020,5/31/2021,455
