location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations_per_hundred,people_vaccinated_per_hundred,CFR
World,2020-01-01,27,0,0,0, , ,0
World,2020-01-02,27,0,0,0, , ,0
World,2020-01-03,44,17,0,0, , ,0
World,2020-01-04,44,0,0,0, , ,0
World,2020-01-05,59,15,0,0, , ,0
World,2020-01-06,59,0,0,0, , ,0
World,2020-01-07,59,0,0,0, , ,0
World,2020-01-08,59,0,0,0, , ,0
World,2020-01-09,59,0,0,0, , ,0
World,2020-01-10,59,0,0,0, , ,0
World,2020-01-11,59,0,1,1, , ,1.69491525423729
World,2020-01-12,59,0,1,0, , ,1.69491525423729
World,2020-01-13,60,1,1,0, , ,1.66666666666667
World,2020-01-14,60,0,1,0, , ,1.66666666666667
World,2020-01-15,61,1,2,1, , ,3.27868852459016
World,2020-01-16,61,0,2,0, , ,3.27868852459016
World,2020-01-17,66,5,2,0, , ,3.03030303030303
World,2020-01-18,83,17,2,0, , ,2.40963855421687
World,2020-01-19,219,136,3,1, , ,1.36986301369863
World,2020-01-20,239,20,3,0, , ,1.25523012552301
World,2020-01-21,392,153,6,3, , ,1.53061224489796
World,2020-01-22,557,0,17,0, , ,3.05206463195691
World,2020-01-23,655,98,18,1, , ,2.74809160305344
World,2020-01-24,941,286,26,8, , ,2.76301806588735
World,2020-01-25,1433,492,42,16, , ,2.93091416608514
World,2020-01-26,2118,685,56,14, , ,2.64400377714825
World,2020-01-27,2927,809,82,26, , ,2.801503245644
World,2020-01-28,5578,2651,131,49, , ,2.34851201147365
World,2020-01-29,6167,589,133,2, , ,2.1566401816118
World,2020-01-30,8235,2068,171,38, , ,2.07650273224044
World,2020-01-31,9927,1692,213,42, , ,2.14566334239952
World,2020-02-01,12038,2111,259,46, , ,2.15152018607742
World,2020-02-02,16787,4749,362,103, , ,2.15643057127539
World,2020-02-03,19887,3100,426,64, , ,2.14210288127923
World,2020-02-04,23898,4011,492,66, , ,2.05874968616621
World,2020-02-05,27643,3745,564,72, , ,2.04029953333575
World,2020-02-06,30803,3160,634,70, , ,2.05824108041425
World,2020-02-07,34396,3593,719,85, , ,2.09035934410978
World,2020-02-08,37130,2734,806,87, , ,2.17075141395098
World,2020-02-09,40160,3030,906,100, , ,2.25597609561753
World,2020-02-10,42769,2609,1013,107, , ,2.36853795973719
World,2020-02-11,44811,2042,1113,100, , ,2.48376514695053
World,2020-02-12,45229,418,1118,5, , ,2.47186539609543
World,2020-02-13,60382,15153,1371,253, , ,2.27054420191448
World,2020-02-14,66909,6527,1523,152, , ,2.27622591878522
World,2020-02-15,69052,2143,1666,143, , ,2.41267450616926
World,2020-02-16,71235,2183,1770,104, , ,2.48473362813224
World,2020-02-17,73270,2035,1868,98, , ,2.54947454619899
World,2020-02-18,75152,1882,2008,140, , ,2.67191824568874
World,2020-02-19,75652,500,2123,115, , ,2.80627081901338
World,2020-02-20,76212,560,2248,125, , ,2.94966671915184
World,2020-02-21,76841,629,2252,4, , ,2.93072708580055
World,2020-02-22,78602,1761,2459,207, , ,3.12841912419531
World,2020-02-23,78982,380,2470,11, , ,3.12729482666937
World,2020-02-24,79546,564,2630,160, , ,3.30626304276771
