location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations_per_hundred,people_vaccinated_per_hundred,CFR
World,2021-01-06,87329386,783372,1890986,15053,.21,.14,2.16534901550779
World,2021-01-07,88210223,880837,1905926,14940,.23,.16,2.1606633961236
World,2021-01-08,89013445,803222,1921092,15166,.25,.17,2.15820430273202
World,2021-01-09,89774439,760994,1933877,12785,.31,.18,2.15415102733196
World,2021-01-10,90363573,589134,1942225,8348,.33,.2,2.14934506850454
World,2021-01-11,90983503,619930,1952549,10324,.37,.24,2.14604728947401
World,2021-01-12,91689011,705508,1969653,17104,.39,.25,2.14818872896339
World,2021-01-13,92437399,748388,1986359,16706,.43,.27,2.14886942026571
World,2021-01-14,93192627,755228,2001730,15371,.46,.29,2.14794889299558
World,2021-01-15,93959814,767187,2016841,15111,.5,.31,2.14649318058463
World,2021-01-16,94598958,639144,2030089,13248,.51,.32,2.14599509647876
World,2021-01-17,95128170,529212,2038753,8664,.52,.33,2.14316432240839
World,2021-01-18,95643236,515066,2048179,9426,.54,.35,2.14147814906639
World,2021-01-19,96251662,608426,2064762,16583,.61,.4,2.14517023093066
World,2021-01-20,96944599,692937,2082668,17906,.7,.43,2.14830740596493
World,2021-01-21,97600922,656323,2099457,16789,.74,.45,2.1510626713137
World,2021-01-22,98259983,659061,2115478,16021,.79,.49,2.15293951353523
World,2021-01-23,98828107,568124,2128772,13294,.83,.52,2.15401474805138
World,2021-01-24,99273761,445654,2137740,8968,.86,.55,2.15337867576106
World,2021-01-25,99771101,497340,2148508,10768,.9,.57,2.15343719620775
World,2021-01-26,100327339,556238,2165816,17308,.93,.6,2.15874957074263
World,2021-01-27,100925700,598361,2182496,16680,1.07,.63,2.16247794169374
World,2021-01-28,101539951,614251,2199547,17051,1.13,.67,2.16618875461147
World,2021-01-29,102130394,590443,2214494,14947,1.18,.7,2.16830065298681
World,2021-01-30,102645724,515330,2228080,13586,1.23,.74,2.17065057673518
World,2021-01-31,103027363,381639,2236070,7990,1.28,.76,2.17036516794087
World,2021-02-01,103474137,446774,2246288,10218,1.32,.79,2.17086903561225
World,2021-02-02,103932094,457957,2261124,14836,1.36,.81,2.17557821937081
World,2021-02-03,104454075,521981,2276852,15728,1.49,.84,2.17976369040653
World,2021-02-04,104920982,466907,2289386,12534,1.55,.88,2.18200969563933
World,2021-02-05,105456410,535428,2305957,16571,1.61,.92,2.18664469992862
World,2021-02-06,105828535,372125,2316094,10137,1.67,.95,2.18853450064295
World,2021-02-07,106226613,398078,2324080,7986,1.71,.98,2.18785098608011
World,2021-02-08,106542506,315893,2332412,8332,1.75,1.01,2.18918447441062
World,2021-02-09,106970539,428033,2347949,15537,1.92,1.04,2.19494920933324
World,2021-02-10,107406280,435741,2361352,13403,1.98,1.08,2.19852321484368
World,2021-02-11,107847745,441465,2374826,13474,2.04,1.12,2.20201729762639
World,2021-02-12,108276434,428689,2387299,12473,2.11,1.2,2.20481864040702
World,2021-02-13,108649735,373301,2397104,9805,2.18,1.24,2.20626769131098
World,2021-02-14,108943585,293850,2403466,6362,2.23,1.28,2.20615651669623
World,2021-02-15,109226751,283166,2410360,6894,2.27,1.31,2.20674878446215
World,2021-02-16,109577771,351020,2421278,10918,2.34,1.36,2.20964341390007
World,2021-02-17,109973326,395555,2432617,11339,2.41,1.4,2.21200639144078
World,2021-02-18,110376842,403516,2443987,11370,2.49,1.44,2.21422080548382
World,2021-02-19,110789361,412519,2455035,11048,2.56,1.52,2.21594833460588
World,2021-02-20,111159816,370455,2463547,8512,2.61,1.55,2.21622083289523
World,2021-02-21,111474262,314446,2469427,5880,2.66,1.58,2.21524408925892
World,2021-02-22,111762700,288438,2476376,6949,2.71,1.61,2.21574460889009
World,2021-02-23,112151553,388853,2487556,11180,2.76,1.68,2.21803081050514
World,2021-02-24,112596489,444936,2499559,12003,2.84,1.73,2.21992623588823
World,2021-02-25,113043967,447478,2509724,10165,2.91,1.77,2.22013086288807
World,2021-02-26,113487006,443039,2519974,10250,2.99,1.82,2.22049562220366
World,2021-02-27,113876236,389230,2528114,8140,3.07,1.87,2.22005405939129
World,2021-02-28,114179745,303509,2533548,5434,3.28,1.9,2.21891194449593
World,2021-03-01,114485609,305864,2540757,7209,3.34,1.95,2.21928067832526
