"Location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GHSI","GDP","WGI","Obesity","Vaccinationph","covid_week"
"Austria",74,0.0164414739069256,71253.7434285714,507.428571428571,19.202,106.749,4352.29442857143,58.5,45436.686,1.38,29,52.3171428571429,73
"Austria",75,0.0164475780629594,71597.5782857143,380.857142857143,19.202,106.749,4667.36414285714,58.5,45436.686,1.38,29,58.0271428571429,73
"Austria",76,0.0164463179480617,71845.1798571429,305.285714285714,19.202,106.749,5062.59928571429,58.5,45436.686,1.38,29,64.3814285714286,73
"Austria",77,0.0164370581750855,72027.4788571429,172.857142857143,19.202,106.749,5381.46285714286,58.5,45436.686,1.38,29,71.2385714285714,73
"Austria",78,0.0164448769197792,72131.167,105.857142857143,19.202,106.749,5725.28485714286,58.5,45436.686,1.38,29,77.6957142857143,73
"Austria",79,0.0164554780064108,72199.732,81.6666666666667,19.202,106.749,5960.05566666667,58.5,45436.686,1.38,29,83.7816666666667,73
"Bahrain",67,0.00359802705802242,89292.5393333333,1094.33333333333,2.372,1935.907,2166.73633333333,39.4,43290.705,-1.41,29.8,51.66,71
"Bahrain",68,0.00356302089028991,92649.8611428571,1122.85714285714,2.372,1935.907,2221.33928571429,39.4,43290.705,-1.41,29.8,57.2157142857143,71
"Bahrain",69,0.00362361053992413,97048.5381428571,1038.14285714286,2.372,1935.907,2298.928,39.4,43290.705,-1.41,29.8,64.4585714285714,71
"Bahrain",70,0.00362992676532742,101375.685428571,1078.71428571429,2.372,1935.907,2358.825,39.4,43290.705,-1.41,29.8,70.0714285714286,71
"Bahrain",71,0.00363604314534959,106169.792571429,1277.85714285714,2.372,1935.907,2424.08785714286,39.4,43290.705,-1.41,29.8,75.4242857142857,71
"Bahrain",72,0.00362138811214009,112317.765285714,1629.71428571429,2.372,1935.907,2491.71657142857,39.4,43290.705,-1.41,29.8,81.9957142857143,71
"Bahrain",73,0.00371953607843097,119283.464,1884,2.372,1935.907,2560.71785714286,39.4,43290.705,-1.41,29.8,87.5242857142857,71
"Bahrain",74,0.0038295974373486,129745.738428571,2882.14285714286,2.372,1935.907,2638.62885714286,39.4,43290.705,-1.41,29.8,94.0457142857143,71
"Bahrain",75,0.00409380268529174,141127.744857143,2455.71428571429,2.372,1935.907,2717.453,39.4,43290.705,-1.41,29.8,101.718571428571,71
"Bahrain",76,0.00449557310612997,148278.984857143,1328,2.372,1935.907,2779.35414285714,39.4,43290.705,-1.41,29.8,107.99,71
"Bahrain",77,0.00475502375742697,152447.624428571,792.428571428571,2.372,1935.907,2831.57414285714,39.4,43290.705,-1.41,29.8,111.534285714286,71
"Bahrain",78,0.00498682188553245,154713.329857143,414.857142857143,2.372,1935.907,2886.41814285714,39.4,43290.705,-1.41,29.8,114.998571428571,71
"Bahrain",79,0.0050707062141539,155921.672166667,237,2.372,1935.907,2932.5116,39.4,43290.705,-1.41,29.8,121.508333333333,71
"Belgium",73,0.023801341261354,89882.702,3192,18.571,375.564,1169.842,61,42658.576,1.4,22.1,50.49,73
"Belgium",74,0.023674593526145,90589.899,1976.71428571429,18.571,375.564,1184.19685714286,61,42658.576,1.4,22.1,53.4614285714286,73
"Belgium",75,0.0234878655392489,91666.799,1630.57142857143,18.571,375.564,1211.60771428571,61,42658.576,1.4,22.1,59.43,73
"Belgium",76,0.0233713591205246,92448.3974285714,1035.28571428571,18.571,375.564,1237.79328571429,61,42658.576,1.4,22.1,67.5842857142857,73
"Belgium",77,0.0233074863491767,92900.4772857143,578.142857142857,18.571,375.564,1261.70671428571,61,42658.576,1.4,22.1,76.73,73
"Belgium",78,0.023278469203805,93179.3968571429,522.428571428571,18.571,375.564,1285.16028571429,61,42658.576,1.4,22.1,85.2371428571429,73
"Belgium",79,0.0232273049153908,93482.9216666667,537.166666666667,18.571,375.564,1303.39866666667,61,42658.576,1.4,22.1,92.2366666666667,73
"Canada",73,0.0185412347985948,35792.9816666667,4509,16.984,4.037,894.543333333333,75.3,44017.591,1.52,29.4,51.5566666666667,75
