,Point,Forecast,Lo 95,Hi 95,
Jul,2021,31.80,30.28,33.31,"(30.28383,33.31367)"
Aug,2021,32.32,30.74,33.90,
Sep,2021,32.59,31.01,34.17,
Oct,2021,31.98,30.40,33.57,
Nov,2021,30.02,28.44,31.61,
Dec,2021,26.39,24.81,27.98,
Jan,2022,25.50,23.92,27.08,
Feb,2022,28.70,27.12,30.29,
Mar,2022,31.94,30.36,33.53,
Apr,2022,33.48,31.90,35.07,
May,2022,33.73,32.15,35.32,
Jun,2022,32.94,31.36,34.53,
Jul,2022,31.97,30.39,33.56,
Aug,2022,32.40,30.82,33.99,
Sep,2022,32.54,30.95,34.12,
Oct,2022,31.99,30.40,33.57,
Nov,2022,30.09,28.51,31.68,
Dec,2022,26.27,24.69,27.85,
Jan,2023,25.02,23.43,26.60,
Feb,2023,28.53,26.95,30.12,
Mar,2023,32.19,30.61,33.78,
Apr,2023,33.61,32.03,35.20,
May,2023,33.53,31.95,35.12,
Jun,2023,32.85,31.27,34.43,
Jul,2023,32.06,30.47,33.64,
Aug,2023,32.43,30.84,34.02,
Sep,2023,32.63,31.04,34.22,
Oct,2023,32.15,30.57,33.74,
Nov,2023,30.09,28.50,31.67,
Dec,2023,26.31,24.73,27.90,
Jan,2024,25.40,23.82,26.99,
Feb,2024,28.72,27.13,30.31,
Mar,2024,32.18,30.59,33.77,
Apr,2024,33.72,32.14,35.31,
May,2024,33.74,32.16,35.33,
Jun,2024,32.82,31.24,34.41,
Jul,2024,31.96,30.35,33.57,
Aug,2024,32.39,30.78,34.01,
Sep,2024,32.56,30.95,34.17,
Oct,2024,32.01,30.40,33.62,
Nov,2024,30.08,28.47,31.69,
Dec,2024,26.29,24.68,27.91,
Jan,2025,25.14,23.53,26.76,
Feb,2025,28.58,26.97,30.20,
Mar,2025,32.15,30.54,33.77,
Apr,2025,33.61,32.00,35.22,
May,2025,33.59,31.98,35.21,
Jun,2025,32.86,31.25,34.47,
Jul,2025,32.03,30.42,33.65,
Aug,2025,32.42,30.81,34.04,
Sep,2025,32.61,30.99,34.22,
Oct,2025,32.11,30.49,33.72,
Nov,2025,30.09,28.47,31.70,
Dec,2025,26.31,24.69,27.92,
Jan,2026,25.31,23.69,26.92,
Feb,2026,28.67,27.06,30.29,
Mar,2026,32.18,30.56,33.79,
Apr,2026,33.69,32.08,35.31,
May,2026,33.69,32.08,35.31,
Jun,2026,32.83,31.22,34.45,
