"Location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GHSI","GDP","WGI","Obesity","Vaccinationph"
"Austria",10,NA,9.85014285714286,23,19.202,106.749,NA,58.5,45436.686,1.38,29,NA
"Austria",11,0.00219735009713513,77.9922857142857,164.285714285714,19.202,106.749,NA,58.5,45436.686,1.38,29,NA
"Austria",12,0.00360383345780848,352.130571428571,564.428571428571,19.202,106.749,NA,58.5,45436.686,1.38,29,NA
"Austria",13,0.00883511459683494,904.293428571429,699.571428571429,19.202,106.749,NA,58.5,45436.686,1.38,29,NA
"Austria",14,0.0160341710055245,1302.756,351.285714285714,19.202,106.749,10.2537142857143,58.5,45436.686,1.38,29,NA
"Austria",15,0.024230309867623,1518.90385714286,226.714285714286,19.202,106.749,15.3518571428571,58.5,45436.686,1.38,29,NA
"Austria",16,0.0301270010484636,1625.74857142857,92.4285714285714,19.202,106.749,19.2884285714286,58.5,45436.686,1.38,29,NA
"Austria",17,0.0354445121052059,1681.37585714286,69.1428571428571,19.202,106.749,24.4452857142857,58.5,45436.686,1.38,29,NA
"Austria",18,0.0381652727258822,1725.93128571429,41.8571428571429,19.202,106.749,29.775,58.5,45436.686,1.38,29,NA
"Austria",19,0.0388863723002323,1756.79828571429,44.4285714285714,19.202,106.749,34.4392857142857,58.5,45436.686,1.38,29,NA
"Austria",20,0.0388446489643694,1795.50085714286,51.4285714285714,19.202,106.749,39.5052857142857,58.5,45436.686,1.38,29,NA
"Austria",21,0.0387235358257212,1828.50914285714,33.7142857142857,19.202,106.749,43.9444285714286,58.5,45436.686,1.38,29,NA
"Austria",22,0.0398513695501533,1852.36542857143,28.8571428571429,19.202,106.749,48.8424285714286,58.5,45436.686,1.38,29,NA
"Austria",23,0.0397751102693669,1874.31785714286,31.4285714285714,19.202,106.749,53.6928571428571,58.5,45436.686,1.38,29,NA
"Austria",24,0.0395856339103984,1897.28585714286,30,19.202,106.749,57.7274285714286,58.5,45436.686,1.38,29,NA
"Austria",25,0.0398190295174589,1921.63357142857,31.2857142857143,19.202,106.749,61.7931428571429,58.5,45436.686,1.38,29,NA
"Austria",26,0.0397743467856932,1953.70585714286,51.1428571428571,19.202,106.749,66.1817142857143,58.5,45436.686,1.38,29,NA
"Austria",27,0.0388570672943556,2015.94742857143,93.5714285714286,19.202,106.749,71.2161428571429,58.5,45436.686,1.38,29,NA
"Austria",28,0.0376415819443277,2085.59642857143,85.7142857142857,19.202,106.749,76.527,58.5,45436.686,1.38,29,NA
"Austria",29,0.0364089617146968,2167.68085714286,115.142857142857,19.202,106.749,83.6365714285714,58.5,45436.686,1.38,29,NA
"Austria",30,0.035025411214756,2256.91885714286,121.428571428571,19.202,106.749,93.2308571428571,58.5,45436.686,1.38,29,NA
"Austria",31,0.0338831829927224,2352.56514285714,114.857142857143,19.202,106.749,99.4761428571429,58.5,45436.686,1.38,29,NA
"Austria",32,0.0328965776900117,2433.222,109.142857142857,19.202,106.749,105.732,58.5,45436.686,1.38,29,NA
"Austria",33,0.0314534633882459,2566.76214285714,226.285714285714,19.202,106.749,112.106857142857,58.5,45436.686,1.38,29,NA
"Austria",34,0.029292650329385,2772.52057142857,268.142857142857,19.202,106.749,120.223428571429,58.5,45436.686,1.38,29,NA
"Austria",35,0.0272776599961664,2985.41685714286,276.571428571429,19.202,106.749,128.592,58.5,45436.686,1.38,29,NA
"Austria",36,0.0254593333423587,3221.04271428571,348.428571428571,19.202,106.749,138.245285714286,58.5,45436.686,1.38,29,NA
"Austria",37,0.0232035488358851,3606.29257142857,603.428571428571,19.202,106.749,147.472571428571,58.5,45436.686,1.38,29,NA
"Austria",38,0.0205065021580402,4141.76914285714,714,19.202,106.749,158.560714285714,58.5,45436.686,1.38,29,NA
"Austria",39,0.0186882810909625,4677.03914285714,676.857142857143,19.202,106.749,171.036,58.5,45436.686,1.38,29,NA
"Austria",40,0.0171244635163445,5252.86771428571,825.428571428571,19.202,106.749,185.391714285714,58.5,45436.686,1.38,29,NA
"Austria",41,0.0156423698311783,6018.87857142857,1072.42857142857,19.202,106.749,198.899857142857,58.5,45436.686,1.38,29,NA
"Austria",42,0.0141308445022282,7004.55871428571,1446.42857142857,19.202,106.749,212.961571428571,58.5,45436.686,1.38,29,NA
"Austria",43,0.0124731701523709,8626.83357142857,2664.42857142857,19.202,106.749,229.268714285714,58.5,45436.686,1.38,29,NA
"Austria",44,0.0106692723074756,11579.718,4585.14285714286,19.202,106.749,247.574857142857,58.5,45436.686,1.38,29,NA
"Austria",45,0.00940522581583716,16188.1392857143,6666.85714285714,19.202,106.749,268.967142857143,58.5,45436.686,1.38,29,NA
"Austria",46,0.00892762028451693,21741.7931428571,7104.42857142857,19.202,106.749,292.589857142857,58.5,45436.686,1.38,29,NA
"Austria",47,0.00959861222212042,26646.3687142857,5730.42857142857,19.202,106.749,316.116714285714,58.5,45436.686,1.38,29,NA
