"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"35",756,"Bahrain",8,NA,6.864,11.5,2.372,1935.907,NA,43290.705,NA,39.4,-1.41,"BHR","Asia",29.8,0
"36",782,"Bahrain",9,NA,23.533,3.714285714,2.372,1935.907,NA,43290.705,NA,39.4,-1.41,"BHR","Asia",29.8,0
"37",768,"Bahrain",10,NA,44.288,8.714285714,2.372,1935.907,3.995,43290.705,NA,39.4,-1.41,"BHR","Asia",29.8,0
"45",1048,"Belgium",5,NA,0.086,1,18.571,375.564,NA,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"46",994,"Belgium",6,NA,0.086,0,18.571,375.564,NA,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"47",1029,"Belgium",7,NA,0.086,0,18.571,375.564,NA,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"48",1000,"Belgium",8,NA,0.086,0,18.571,375.564,NA,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"49",1011,"Belgium",9,NA,0.331714286,1.714285714,18.571,375.564,0.040666667,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"50",1022,"Belgium",10,NA,12.98071429,36.28571429,18.571,375.564,0.332285714,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"127",1869,"Canada",4,NA,0.035,0.666666667,16.984,4.037,NA,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"128",1881,"Canada",5,NA,0.090142857,0.285714286,16.984,4.037,0,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"129",1852,"Canada",6,NA,0.168857143,0.428571429,16.984,4.037,0.002,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"130",1865,"Canada",7,NA,0.191428571,0.142857143,16.984,4.037,0.003,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"131",1904,"Canada",8,NA,0.243714286,0.571428571,16.984,4.037,0.005333333,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"132",1923,"Canada",9,NA,0.589285714,3.571428571,16.984,4.037,0.0134,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"148",2153,"Chile",8,NA,0.104,0.666666667,11.087,24.282,NA,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"149",2163,"Chile",9,NA,0.267428571,1.142857143,11.087,24.282,NA,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"150",2106,"Chile",10,NA,0.847714286,2.142857143,11.087,24.282,NA,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"151",2093,"Chile",11,NA,5.383428571,29,11.087,24.282,NA,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"167",2872,"Denmark",5,NA,NA,NA,19.677,136.52,0,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
