"","Group.1","x"
"1",1,NA
"2",3,NA
"3",4,2.8127385
"4",5,2.1494576
"5",6,2.2247036
"6",7,5.40132825
"7",8,4.8529316
"8",9,2.643329775
"9",10,2.03508944285714
"10",11,1.77234144615385
"11",12,2.17020880588235
"12",13,2.93944982631579
"13",14,4.36402412105263
"14",15,5.38946018947368
"15",16,5.64604374210526
"16",17,6.06746532631579
"17",18,6.32528910526316
"18",19,6.46286192631579
"19",20,6.52483465263158
"20",21,6.53871858947368
"21",22,6.50232698947369
"22",23,6.49741047368421
"23",24,6.47809150526316
"24",25,6.46238400526316
"25",26,6.42998674210526
"26",27,6.39260642105263
"27",28,6.33993652631579
"28",29,6.27606027894737
"29",30,6.15837569473684
"30",31,6.00054792631579
"31",32,5.80691370526316
"32",33,5.59136915789474
"33",34,5.38638737894737
"34",35,5.15686691052632
"35",36,4.91181615263158
"36",37,4.63104918947368
"37",38,4.33197311578947
"38",39,4.02430218421053
"39",40,3.7264164
"40",41,3.37603977894737
"41",42,3.00034908421053
"42",43,2.64362923157895
"43",44,2.35730202631579
"44",45,2.1848186
"45",46,2.0781401
"46",47,2.01509053157895
"47",48,1.98477467368421
"48",49,1.96108845789474
"49",50,1.93437693157895
"50",51,1.90187182105263
"51",52,1.78163143
"52",53,1.76357528
"53",54,1.7295672
"54",55,1.68081082
"55",56,1.66418116
"56",57,1.667602475
"57",58,1.678805455
"58",59,1.69226116
"59",60,1.70207032
"60",61,1.702585695
"61",62,1.69540522
"62",63,1.68585104
"63",64,1.668795005
"64",65,1.64733728
"65",66,1.62617954
"66",67,1.61022485
"67",68,1.6010486
"68",69,1.596741725
"69",70,1.59206359
"70",71,1.58824557
"71",72,1.584755515
"72",73,1.581747115
"73",74,1.580879955
"74",75,1.57453779
"75",76,1.57053104
"76",77,1.56661682
"77",78,1.563840995
"78",79,1.56005366
"79",80,1.55293253
"80",81,1.53984619
"81",82,1.520170465
"82",83,1.501493885
"83",84,1.48506237
"84",85,1.468622565
"85",86,1.45561635
"86",87,1.4453752
"87",88,1.43286787
