"","Group.1","x"
"1","2020-01-06",NA
"2","2020-01-18",NA
"3","2020-01-22",NA
"4","2020-01-23",NA
"5","2020-01-24",NA
"6","2020-01-25",NA
"7","2020-01-26",NA
"8","2020-01-27",NA
"9","2020-01-28",NA
"10","2020-01-29",NA
"11","2020-01-30",NA
"12","2020-01-31",NA
"13","2020-02-01",NA
"14","2020-02-02",NA
"15","2020-02-03",NA
"16","2020-02-04",NA
"17","2020-02-05",NA
"18","2020-02-06",NA
"19","2020-02-07",NA
"20","2020-02-08",NA
"21","2020-02-09",NA
"22","2020-02-10",NA
"23","2020-02-11",NA
"24","2020-02-12",NA
"25","2020-02-13",NA
"26","2020-02-14",NA
"27","2020-02-15",NA
"28","2020-02-16",NA
"29","2020-02-17",NA
"30","2020-02-18",NA
"31","2020-02-19",NA
"32","2020-02-20",NA
"33","2020-02-21",NA
"34","2020-02-22",NA
"35","2020-02-23",NA
"36","2020-02-24",NA
"37","2020-02-25",NA
"38","2020-02-26",NA
"39","2020-02-27",NA
"40","2020-02-28",NA
"41","2020-02-29",NA
"42","2020-03-01",NA
"43","2020-03-02",NA
"44","2020-03-03",NA
"45","2020-03-04",NA
"46","2020-03-05",NA
"47","2020-03-06",NA
"48","2020-03-07",NA
"49","2020-03-08",NA
"50","2020-03-09",NA
"51","2020-03-10",NA
"52","2020-03-11",NA
"53","2020-03-12",NA
"54","2020-03-13",NA
"55","2020-03-14",NA
"56","2020-03-15",NA
"57","2020-03-16",NA
"58","2020-03-17",NA
"59","2020-03-18",NA
"60","2020-03-19",NA
"61","2020-03-20",NA
"62","2020-03-21",NA
"63","2020-03-22",NA
"64","2020-03-23",NA
"65","2020-03-24",NA
"66","2020-03-25",NA
"67","2020-03-26",NA
"68","2020-03-27",NA
"69","2020-03-28",NA
"70","2020-03-29",NA
"71","2020-03-30",NA
"72","2020-03-31",NA
"73","2020-04-01",NA
"74","2020-04-02",NA
"75","2020-04-03",NA
"76","2020-04-04",NA
"77","2020-04-05",NA
"78","2020-04-06",NA
"79","2020-04-07",NA
"80","2020-04-08",NA
"81","2020-04-09",NA
"82","2020-04-10",NA
"83","2020-04-11",NA
"84","2020-04-12",NA
"85","2020-04-13",NA
"86","2020-04-14",NA
"87","2020-04-15",NA
"88","2020-04-16",NA
"89","2020-04-17",NA
"90","2020-04-18",NA
"91","2020-04-19",NA
"92","2020-04-20",NA
"93","2020-04-21",NA
"94","2020-04-22",NA
"95","2020-04-23",NA
"96","2020-04-24",NA
"97","2020-04-25",NA
"98","2020-04-26",NA
"99","2020-04-27",NA
"100","2020-04-28",NA
"101","2020-04-29",NA
"102","2020-04-30",NA
"103","2020-05-01",NA
"104","2020-05-02",NA
"105","2020-05-03",NA
"106","2020-05-04",NA
"107","2020-05-05",NA
"108","2020-05-06",NA
"109","2020-05-07",NA
"110","2020-05-08",NA
"111","2020-05-09",NA
"112","2020-05-10",NA
"113","2020-05-11",NA
"114","2020-05-12",NA
"115","2020-05-13",NA
"116","2020-05-14",NA
"117","2020-05-15",NA
"118","2020-05-16",NA
"119","2020-05-17",NA
"120","2020-05-18",NA
"121","2020-05-19",NA
"122","2020-05-20",NA
"123","2020-05-21",NA
"124","2020-05-22",NA
"125","2020-05-23",NA
"126","2020-05-24",NA
"127","2020-05-25",NA
"128","2020-05-26",NA
"129","2020-05-27",NA
"130","2020-05-28",NA
"131","2020-05-29",NA
"132","2020-05-30",NA
"133","2020-05-31",NA
"134","2020-06-01",NA
"135","2020-06-02",NA
"136","2020-06-03",NA
"137","2020-06-04",NA
"138","2020-06-05",NA
"139","2020-06-06",NA
"140","2020-06-07",NA
"141","2020-06-08",NA
"142","2020-06-09",NA
"143","2020-06-10",NA
"144","2020-06-11",NA
"145","2020-06-12",NA
"146","2020-06-13",NA
"147","2020-06-14",NA
"148","2020-06-15",NA
"149","2020-06-16",NA
"150","2020-06-17",NA
"151","2020-06-18",NA
"152","2020-06-19",NA
"153","2020-06-20",NA
"154","2020-06-21",NA
"155","2020-06-22",NA
"156","2020-06-23",NA
"157","2020-06-24",NA
"158","2020-06-25",NA
"159","2020-06-26",NA
"160","2020-06-27",NA
"161","2020-06-28",NA
"162","2020-06-29",NA
"163","2020-06-30",NA
"164","2020-07-01",NA
"165","2020-07-02",NA
"166","2020-07-03",NA
"167","2020-07-04",NA
"168","2020-07-05",NA
"169","2020-07-06",NA
"170","2020-07-07",NA
"171","2020-07-08",NA
"172","2020-07-09",NA
"173","2020-07-10",NA
"174","2020-07-11",NA
"175","2020-07-12",NA
"176","2020-07-13",NA
"177","2020-07-14",NA
"178","2020-07-15",NA
"179","2020-07-16",NA
"180","2020-07-17",NA
"181","2020-07-18",NA
"182","2020-07-19",NA
"183","2020-07-20",NA
"184","2020-07-21",NA
"185","2020-07-22",NA
"186","2020-07-23",NA
"187","2020-07-24",NA
"188","2020-07-25",NA
"189","2020-07-26",NA
"190","2020-07-27",NA
"191","2020-07-28",NA
"192","2020-07-29",NA
"193","2020-07-30",NA
"194","2020-07-31",NA
"195","2020-08-01",NA
"196","2020-08-02",NA
"197","2020-08-03",NA
"198","2020-08-04",NA
"199","2020-08-05",NA
"200","2020-08-06",NA
"201","2020-08-07",NA
"202","2020-08-08",NA
"203","2020-08-09",NA
"204","2020-08-10",NA
"205","2020-08-11",NA
"206","2020-08-12",NA
"207","2020-08-13",NA
"208","2020-08-14",NA
"209","2020-08-15",NA
"210","2020-08-16",NA
"211","2020-08-17",NA
"212","2020-08-18",NA
"213","2020-08-19",NA
"214","2020-08-20",NA
"215","2020-08-21",NA
"216","2020-08-22",NA
"217","2020-08-23",NA
"218","2020-08-24",NA
"219","2020-08-25",NA
"220","2020-08-26",NA
"221","2020-08-27",NA
"222","2020-08-28",NA
"223","2020-08-29",NA
"224","2020-08-30",NA
"225","2020-08-31",NA
"226","2020-09-01",NA
"227","2020-09-02",NA
"228","2020-09-03",NA
"229","2020-09-04",NA
"230","2020-09-05",NA
"231","2020-09-06",NA
"232","2020-09-07",NA
"233","2020-09-08",NA
"234","2020-09-09",NA
"235","2020-09-10",NA
"236","2020-09-11",NA
"237","2020-09-12",NA
"238","2020-09-13",NA
"239","2020-09-14",NA
"240","2020-09-15",NA
"241","2020-09-16",NA
"242","2020-09-17",NA
"243","2020-09-18",NA
"244","2020-09-19",NA
"245","2020-09-20",NA
"246","2020-09-21",NA
"247","2020-09-22",NA
"248","2020-09-23",NA
"249","2020-09-24",NA
"250","2020-09-25",NA
"251","2020-09-26",NA
"252","2020-09-27",NA
"253","2020-09-28",NA
"254","2020-09-29",NA
"255","2020-09-30",NA
"256","2020-10-01",NA
"257","2020-10-02",NA
"258","2020-10-03",NA
"259","2020-10-04",NA
"260","2020-10-05",NA
"261","2020-10-06",NA
"262","2020-10-07",NA
"263","2020-10-08",NA
"264","2020-10-09",NA
"265","2020-10-10",NA
"266","2020-10-11",NA
"267","2020-10-12",NA
"268","2020-10-13",NA
"269","2020-10-14",NA
"270","2020-10-15",NA
"271","2020-10-16",NA
"272","2020-10-17",NA
"273","2020-10-18",NA
"274","2020-10-19",NA
"275","2020-10-20",NA
"276","2020-10-21",NA
"277","2020-10-22",NA
"278","2020-10-23",NA
"279","2020-10-24",NA
"280","2020-10-25",NA
"281","2020-10-26",NA
"282","2020-10-27",NA
"283","2020-10-28",NA
"284","2020-10-29",NA
"285","2020-10-30",NA
"286","2020-10-31",NA
"287","2020-11-01",NA
"288","2020-11-02",NA
"289","2020-11-03",NA
"290","2020-11-04",NA
"291","2020-11-05",NA
"292","2020-11-06",NA
"293","2020-11-07",NA
"294","2020-11-08",NA
"295","2020-11-09",NA
"296","2020-11-10",NA
"297","2020-11-11",NA
"298","2020-11-12",NA
"299","2020-11-13",NA
"300","2020-11-14",NA
"301","2020-11-15",NA
"302","2020-11-16",NA
"303","2020-11-17",NA
"304","2020-11-18",NA
"305","2020-11-19",NA
"306","2020-11-20",NA
"307","2020-11-21",NA
"308","2020-11-22",NA
"309","2020-11-23",NA
"310","2020-11-24",NA
"311","2020-11-25",NA
"312","2020-11-26",NA
"313","2020-11-27",NA
"314","2020-11-28",NA
"315","2020-11-29",NA
"316","2020-11-30",NA
"317","2020-12-01",NA
"318","2020-12-02",0
"319","2020-12-03",0
"320","2020-12-04",0
"321","2020-12-05",0
"322","2020-12-06",0
"323","2020-12-07",0
"324","2020-12-08",0
"325","2020-12-09",0
"326","2020-12-10",0
"327","2020-12-11",0
"328","2020-12-12",0
"329","2020-12-13",0.065
"330","2020-12-14",0
"331","2020-12-15",0.0333333333333333
"332","2020-12-16",0.005
"333","2020-12-17",0.00666666666666667
"334","2020-12-18",0.01
"335","2020-12-19",0.0075
"336","2020-12-20",0.275
"337","2020-12-21",0.105
"338","2020-12-22",0.19
"339","2020-12-23",0.782
"340","2020-12-24",0.901666666666667
"341","2020-12-25",1.18
"342","2020-12-26",1.05833333333333
"343","2020-12-27",0.932
"344","2020-12-28",0.956
"345","2020-12-29",1.172
"346","2020-12-30",1.386
"347","2020-12-31",1.3575
"348","2021-01-01",1.686
"349","2021-01-02",1.795
"350","2021-01-03",1.98818181818182
"351","2021-01-04",1.84333333333333
"352","2021-01-05",2.71666666666667
"353","2021-01-06",3.14545454545455
"354","2021-01-07",2.95230769230769
"355","2021-01-08",3.37083333333333
"356","2021-01-09",3.53583333333333
"357","2021-01-10",3.45571428571429
"358","2021-01-11",3.605
"359","2021-01-12",3.83785714285714
"360","2021-01-13",3.88357142857143
"361","2021-01-14",4.73
"362","2021-01-15",5.04833333333333
"363","2021-01-16",5.61363636363636
"364","2021-01-17",5.16846153846154
"365","2021-01-18",5.8975
"366","2021-01-19",6.31583333333333
"367","2021-01-20",6.03714285714286
"368","2021-01-21",7.21333333333333
"369","2021-01-22",7.04538461538462
"370","2021-01-23",8.29818181818182
"371","2021-01-24",7.24071428571429
