"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","SI","GHSI","WGI","X...iso_code","continent","Obesity_rate","Vaccinationph2","vml","vml2","lw","TTs","TTs2","GDP2","PopulationDensity2","PopulationDensity22","GHSI2","WGI2","Age65Older2","Age65Older22","Obesity_rate2","Obesity_rate22","CFR2","CFR22","SI2","CFRprcnt"
"96",23,"Afghanistan",103,0.046483831,3957.514571,20,2.581,54.422,NA,1803.987,NA,27.78,32.3,-0.99,"AFG","Asia",5.5,10.09,10.09,-0.394819101981779,4.63472898822964,NA,NA,-0.858236281598825,54.422,-0.208865709912709,-0.720208888060104,-0.802253026883755,2.581,-0.95851245719091,5.5,-1.33833649639089,0.00046483831,0.665119406544449,-1.25499636720603,4.6483831
"210",181,"Albania",103,0.015394443,71022.814,295,13.188,104.871,475.1083333,11803.431,76.9675,46.56142857,52.9,0.21,"ALB","Europe",21.7,76.9675,76.9675,0.78032206650101,4.63472898822964,475.1083333,-0.111289241914125,-0.336486510567291,104.871,-0.135053104258608,0.682420110676146,0.386824960021042,13.188,0.693376049175956,21.7,0.430068320789774,0.00015394443,-0.333991182232419,-0.355097995432581,1.5394443
"324",341,"Algeria",103,0.028866456,4775.791571,217.2857143,6.211,17.348,NA,13913.839,27.88,50,23.6,-0.98,"DZA","Africa",27.4,27.88,27.88,-0.0822212718100646,4.63472898822964,NA,NA,-0.226369899005377,17.348,-0.263109174441642,-1.31258132927396,-0.792344043659548,6.211,-0.393191887933653,27.4,1.05228483053853,0.00028866456,0.0989549677670473,-0.190341367918825,2.8866456
"434",369,"Angola",103,0.026535346,1929.060857,43.14285714,2.405,23.89,NA,5819.495,31.84,66.67,25.2,-0.92,"AGO","Africa",8.2,31.84,31.84,-0.0126379436774064,4.63472898822964,NA,NA,-0.648715594291082,23.89,-0.253537486872233,-1.20363927111968,-0.732890144314308,2.405,-0.985921939336716,8.2,-1.04360236019411,0.00026535346,0.0240407660270954,0.608389452878551,2.6535346
"555",571,"Argentina",103,0.021776585,117611.0841,3682.142857,11.198,16.177,592.4478571,18933.907,160.8171429,41.67,58.6,0.57,"ARG","South America",28.3,160.8171429,160.8171429,2.25369005026791,4.63472898822964,592.4478571,-0.0320342265342071,0.0355665976201089,16.177,-0.264822480180526,1.07052619285074,0.743548356092481,11.198,0.383462018095532,28.3,1.15052954260412,0.00021776585,-0.1288901473945,-0.58946720698554,2.1776585
"672",671,"Armenia",103,0.022826526,115443.6639,198.4285714,11.232,102.931,828.8445714,8787.58,48.93,NA,50.2,-0.11,"ARM","Asia",20.2,48.93,48.93,0.287659803238535,4.63472898822964,828.8445714,0.127635973419413,-0.493847216694074,102.931,-0.137891544167605,0.498580387540812,0.0697374968464299,11.232,0.388757031691881,20.2,0.266327134013787,0.00022826526,-0.095148499900797,NA,2.2826526
"790",701,"Australia",103,0.009043645,9068.936857,2449.571429,15.504,3.202,1947.676714,44648.71,156.6671429,56.02,75.5,1.43,"AUS","Oceania",20.1,156.6671429,156.6671429,2.18076812810868,4.63472898822964,1947.676714,0.883332398610714,1.37731045631575,3.202,-0.283806375963633,2.22122668210524,1.59572091337425,15.504,1.05405991650373,20.1,0.255411054895388,0.00009043645,-0.538084924090026,0.0981025157764481,0.9043645
"904",809,"Austria",103,0.010737887,136230.1124,3556.714286,19.202,106.749,12758.40643,45436.686,169.63,65.60428571,58.5,1.38,"AUT","Europe",29,169.63,169.63,2.40854558748395,4.63472898822964,12758.40643,8.185258656383,1.4184253720629,106.749,-0.132305377377631,1.0637173142161,1.54617599725322,19.202,1.62997051295368,29,1.22694209643291,0.00010737887,-0.483637563397351,0.557326534486997,1.0737887
"1017",987,"Azerbaijan",103,0.013391611,59191.214,1004.571429,6.018,119.309,557.811,15847.419,106.7228571,40.74,34.2,-1.5,"AZE","Asia",19.9,106.7228571,106.7228571,1.30316973740852,4.63472898822964,557.811,-0.0554291113374852,-0.125479797288606,119.309,-0.113928673636913,-0.590840194001906,-1.30761117131829,6.018,-0.423248876877634,19.9,0.23357889665859,0.00013391611,-0.398355609693685,-0.634027474732484,1.3391611
"1131",1076,"Bahrain",103,0.005012401,159075.1479,41.85714286,2.372,1935.907,4360.135,43290.705,174.8771429,32.41,39.4,-1.41,"BHR","Asia",29.8,174.8771429,174.8771429,2.50074600823386,4.63472898822964,4360.135,2.51278692823904,1.30645263684002,1935.907,2.54396012110685,-0.236778505000523,-1.21843032230043,2.372,-0.991061217239055,29.8,1.31427072938011,0.00005012401,-0.667635836007083,-1.0331533137992,0.5012401
"1243",1187,"Bangladesh",103,0.017744262,9498.740429,287,5.098,1265.036,67.029,3523.984,NA,38.89,35,-0.73,"BGD","Asia",3.6,62.31333333,62.31333333,0.522825680665336,4.63472898822964,67.029,-0.386919590406456,-0.768490487640189,1265.036,1.56239980142218,-0.53636916492477,-0.544619463054382,5.098,-0.566525715367076,3.6,-1.54574199964047,0.00017744262,-0.258475734819654,-0.722668867562427,1.7744262
