"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2","SI","CFRprcnt"
"81",79,"Afghanistan",88,0.046438528,3842.0472,79.6,2.581,54.422,NA,1803.987,4.97,32.3,-0.99,"AFG","Asia",5.5,4.97,52.31,4.6438528
"162",161,"Albania",88,0.017217769,50388.9054,826.8,13.188,104.871,NA,11803.431,50.4975,52.9,0.21,"ALB","Europe",21.7,50.4975,37.96,1.7217769
"243",243,"Algeria",88,0.026693957,4373.5848,481.2,6.211,17.348,NA,13913.839,NA,23.6,-0.98,"DZA","Africa",27.4,9.29,50.46,2.6693957
"320",271,"Angola",88,0.025443105,1391.252,163.6,2.405,23.89,NA,5819.495,NA,25.2,-0.92,"AGO","Africa",8.2,5.3,56.94,2.5443105
"408",375,"Argentina",88,0.021540002,113482.1356,4738.8,11.198,16.177,290.455,18933.907,91.204,58.6,0.57,"ARG","South America",28.3,91.204,75.93,2.1540002
"488",488,"Armenia",88,0.019982618,81283.287,479.2,11.232,102.931,515.238,8787.58,9.27,50.2,-0.11,"ARM","Asia",20.2,9.27,NA,1.9982618
"573",528,"Australia",88,0.019096985,2037.853,1255.4,15.504,3.202,1215.479667,44648.71,73.268,75.5,1.43,"AUS","Oceania",20.1,73.268,71.76,1.9096985
"654",642,"Austria",88,0.015715034,75839.2058,1337.6,19.202,106.749,8401.318,45436.686,115.43,58.5,1.38,"AUT","Europe",29,115.43,58.8,1.5715034
"734",727,"Azerbaijan",88,0.013298118,40842.2334,3869.8,6.018,119.309,433.2322,15847.419,65.235,34.2,-1.5,"AZE","Asia",19.9,65.235,58.886,1.3298118
"815",808,"Bahrain",88,0.005096467,155777.8292,99.6,2.372,1935.907,3374.6792,43290.705,141.932,39.4,-1.41,"BHR","Asia",29.8,141.932,39.35,0.5096467
"895",876,"Bangladesh",88,0.017421676,8980.1576,3598,5.098,1265.036,53.2662,3523.984,15.64,35,-0.73,"BGD","Asia",3.6,15.64,60.19,1.7421676
"975",975,"Belarus",88,0.007842207,50733.9136,1425.8,14.799,46.858,822.9763333,17167.967,31.38,35.3,-1.35,"BLR","Europe",24.5,31.38,39.81,0.7842207
"1059",1038,"Belgium",88,0.021493026,101462.028,1817.8,18.571,375.564,1603.9484,42658.576,138.842,61,1.4,"BEL","Europe",22.1,138.842,47.22,2.1493026
"1137",1127,"Benin",88,0.009576537,1073.485,174.8,3.244,99.11,NA,2064.236,NA,28.8,0.27,"BEN","Africa",9.6,0.865,37.04,0.9576537
"1215",1210,"Bolivia",88,0.037575444,41412.1566,389.2,6.704,10.202,192.3904,6885.829,49.7,35.8,-0.04,"BOL","South America",20.2,49.7,44.91,3.7575444
"1294",1293,"Bosnia and Herzegovina",88,0.045999496,65216.0788,432.8,16.569,68.496,348.465,11713.895,NA,42.8,-0.24,"BIH","Europe",17.9,28.44,35.19,4.5999496
"1370",1307,"Botswana",88,0.014396872,64677.1288,626.8,3.941,4.044,NA,15807.374,NA,31.1,0.47,"BWA","Africa",18.9,18.13,73.15,1.4396872
"1450",1430,"Brazil",88,0.02793186,96922.108,20061.8,8.552,25.04,NA,14103.452,88.50666667,59.7,0.39,"BRA","South America",22.1,88.50666667,51.39,2.793186
"1529",1520,"Bulgaria",88,0.041489261,65606.3554,1462.2,20.801,65.18,608.882,18563.307,33.26,45.6,0.32,"BGR","Europe",25,33.26,42.59,4.1489261
"1608",1562,"Burkina Faso",88,0.012423718,640.2724,5.6,2.409,70.151,NA,1703.102,0.51,30.1,-0.04,"BFA","Africa",5.6,0.51,16.67,1.2423718
"1684",1678,"Burundi",88,0.003177687,975.7958,79,2.562,423.062,NA,702.225,NA,22.8,-1.65,"BDI","Africa",5.4,0,15.74,0.3177687
"1769",1759,"Cambodia",88,0.020398079,5440.8814,419.4,4.412,90.672,NA,3645.07,110.448,39.2,-1.22," "," ",3.9,110.448,70.37,2.0398079
"1848",1800,"Cameroon",88,0.0161822,3064.362,0,3.165,50.885,NA,3364.926,1.57,34.4,-1.1,"CMR","Africa",11.4,1.57,12.594,1.61822
"1933",1922,"Canada",88,0.017978268,39396.8958,3295,16.984,4.037,1061.1684,44017.591,139.626,75.3,1.52,"CAN","North America",29.4,139.626,69.91,1.7978268
"2011",2004,"Central African Republic",88,0.008798045,2291.713,5.2,3.655,7.479,NA,661.24,NA,27.3,-1.19," "," ",7.5,2.21,24.07,0.8798045
"2088",2039,"Chad",88,0.034865549,295.0404,0.6,2.486,11.833,NA,1768.153,0.32,28.8,-1.45," "," ",6.1,0.32,25,3.4865549
"2169",2149,"Chile",88,0.022517987,85244.0214,543.4,11.087,24.282,1038.462,22767.037,149.69,58.3,1.05,"CHL","South America",28,149.69,69.538,2.2517987
"2254",2204,"China",88,0.048847417,65.7158,26.6,10.641,147.674,NA,15308.712,141.538,48.2,-1.45,"CHN","Asia",6.2,141.538,79.17,4.8847417
