,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,GHSI,WGI,continent,Obesity_rate,id,lw,vml,vml2,TTs,TTs2,GDP2,PopulationDensity2,PopulationDensity22,GHSI2,WGI2,Age65Older2,Age65Older22,Obesity_rate2,Obesity_rate22,CFR2
1,Afghanistan,54,0.042374475,1346.819143,240.1428571,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,1,3.988984047,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.23745E-06
2,Afghanistan,55,0.04270533,1375.061143,81.14285714,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,2,4.007333185,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.27053E-06
3,Afghanistan,67,0.044153965,1457.458143,60.85714286,2.581,54.422,NA,1803.987,0.31,32.3,-0.99,Asia,5.5,3,4.204692619,0.31,-0.71034078,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.4154E-06
4,Afghanistan,68,0.044109857,1471.403,84.42857143,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,4,4.219507705,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.41099E-06
5,Afghanistan,65,0.043891686,1442.258143,26,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,5,4.17438727,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.38917E-06
6,Afghanistan,62,0.043854476,1431.766286,13.57142857,2.581,54.422,NA,1803.987,0.02,32.3,-0.99,Asia,5.5,6,4.127134385,0.02,-0.719406791,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.38545E-06
7,Afghanistan,63,0.043855818,1435.153571,20.28571429,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,7,4.143134726,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.38558E-06
8,Afghanistan,64,0.043899228,1438.331286,18.14285714,2.581,54.422,NA,1803.987,0.14,32.3,-0.99,Asia,5.5,8,4.158883083,0.14,-0.715655338,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.38992E-06
9,Afghanistan,56,0.043326235,1389.502,89.71428571,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,9,4.025351691,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.33262E-06
10,Afghanistan,79,0.040799427,2959.870571,1526.285714,2.581,54.422,NA,1803.987,2.215,32.3,-0.99,Asia,5.5,10,4.369447852,2.215,-0.650786464,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.07994E-06
11,Afghanistan,80,0.041698834,3204.360429,1413.857143,2.581,54.422,NA,1803.987,2.375,32.3,-0.99,Asia,5.5,11,4.382026635,2.375,-0.645784526,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.16988E-06
12,Afghanistan,81,0.042792217,3444.277429,1105.714286,2.581,54.422,NA,1803.987,2.55,32.3,-0.99,Asia,5.5,12,4.394449155,2.55,-0.640313658,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.27922E-06
13,Afghanistan,66,0.043919645,1447.769857,41.57142857,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,13,4.189654742,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.39196E-06
14,Afghanistan,60,0.043730488,1425.839714,19.57142857,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,14,4.094344562,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.37305E-06
15,Afghanistan,61,0.043748028,1428.874429,17.57142857,2.581,54.422,NA,1803.987,0,32.3,-0.99,Asia,5.5,15,4.110873864,0,-0.720032034,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.3748E-06
16,Afghanistan,72,0.043384358,1597.370714,269,2.581,54.422,NA,1803.987,1.3,32.3,-0.99,Asia,5.5,16,4.276666119,1.3,-0.679391293,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.33844E-06
17,Afghanistan,78,0.040254882,2654.481714,1857.285714,2.581,54.422,NA,1803.987,1.97,32.3,-0.99,Asia,5.5,17,4.356708827,1.97,-0.65844568,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.02549E-06
18,Afghanistan,74,0.042420224,1708.564143,541.5714286,2.581,54.422,NA,1803.987,1.503333333,32.3,-0.99,Asia,5.5,18,4.304065093,1.503333333,-0.673034664,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.24202E-06
19,Afghanistan,75,0.041000776,1849.413,964.7142857,2.581,54.422,NA,1803.987,1.59,32.3,-0.99,Asia,5.5,19,4.317488114,1.59,-0.670325281,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.10008E-06
20,Afghanistan,76,0.039550782,2080.467286,1539,2.581,54.422,NA,1803.987,1.65,32.3,-0.99,Asia,5.5,20,4.33073334,1.65,-0.668449555,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,3.95508E-06
21,Afghanistan,77,0.039324985,2351.815714,1519.857143,2.581,54.422,NA,1803.987,1.7,32.3,-0.99,Asia,5.5,21,4.343805422,1.7,-0.66688645,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,3.9325E-06
22,Afghanistan,57,0.043575706,1404.793714,69.71428571,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,22,4.043051268,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.35757E-06
23,Afghanistan,58,0.043628055,1414.889,48.57142857,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,23,4.060443011,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.36281E-06
24,Afghanistan,59,0.043585047,1422.008429,27,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,24,4.077537444,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.3585E-06
25,Afghanistan,71,0.043777061,1550.937571,226.5714286,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,25,4.262679877,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.37771E-06
26,Afghanistan,84,0.045569638,3763.916,263.5,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,26,4.430816799,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.55696E-06
27,Afghanistan,73,0.043092942,1638.046429,218.5714286,2.581,54.422,NA,1803.987,1.41,32.3,-0.99,Asia,5.5,27,4.290459441,1.41,-0.675952461,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.30929E-06
28,Afghanistan,69,0.043951224,1488.401571,111.1428571,2.581,54.422,NA,1803.987,0.62,32.3,-0.99,Asia,5.5,28,4.234106505,0.62,-0.700649526,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.39512E-06
29,Afghanistan,70,0.043885395,1516.709857,180.5714286,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,29,4.248495242,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.38854E-06
