Date,Country,Confirmed,Rainfall,Relative.humidity,Max.Temp,Min.Temp,Surface.Pressure,pm25_max,Max_Windspeed_10meters,Deaths
24-02-20,Afghanistan,0,1.53,62.94,12.25,0.91,78.88,260,4.57,0
25-02-20,Afghanistan,0,0.01,52.88,15.66,-1.62,78.87,191,4.46,0
26-02-20,Afghanistan,0,0,52.25,16.29,3.13,78.84,203,5.15,0
27-02-20,Afghanistan,0,7.59,67.45,12.8,0.21,78.46,242,10.25,0
28-02-20,Afghanistan,0,2.53,70.73,8.61,-1.68,78.53,151,2.23,0
29-02-20,Afghanistan,0,0.06,56.59,13.35,-2.92,78.58,162,2.6,0
01-03-20,Afghanistan,0,0,45.19,14.6,-0.89,78.73,284,3.86,0
02-03-20,Afghanistan,0,0.01,43.36,14.13,0.37,78.72,268,3.94,0
03-03-20,Afghanistan,0,1.26,61.24,12.19,2.52,78.41,227,5.69,0
04-03-20,Afghanistan,0,4.73,64.26,11.47,0.3,78.19,152,6.65,0
05-03-20,Afghanistan,0,12.75,75.83,5.56,-4.74,78.2,161,4.54,0
06-03-20,Afghanistan,0,0.01,45.63,10.95,-7.76,78.28,192,6.05,0
07-03-20,Afghanistan,0,0,46.7,7.26,-6.97,78.34,219,6.35,0
08-03-20,Afghanistan,4,0,36.64,9.3,-9.43,78.58,93,5.23,0
09-03-20,Afghanistan,0,0,51.89,6.02,-1.36,78.58,172,4.15,0
10-03-20,Afghanistan,1,0.61,69.67,3.38,-4.06,78.33,122,2.84,0
11-03-20,Afghanistan,2,0,49.41,7.63,-7.4,78.06,162,5.62,0
12-03-20,Afghanistan,0,0,52.27,11.34,-2.74,78.31,186,5.61,0
13-03-20,Afghanistan,0,0,39.06,14.61,-3.22,78.74,239,4.66,0
14-03-20,Afghanistan,4,0,39.4,15.05,-1.7,78.87,241,4.67,0
15-03-20,Afghanistan,5,0,54.42,14.73,2.57,78.89,228,5.06,0
16-03-20,Afghanistan,5,0,72.49,11.72,2.32,78.92,225,5.71,0
17-03-20,Afghanistan,1,0,68.58,12.95,1.9,79.03,206,3.26,0
18-03-20,Afghanistan,0,0.02,57.85,15.25,1.83,79.03,163,2.37,0
19-03-20,Afghanistan,0,0.74,64.28,14.43,1.71,78.73,159,3.37,0
20-03-20,Afghanistan,2,45.97,85,8.02,0.73,78.49,161,2.79,0
21-03-20,Afghanistan,0,0.51,56.36,13.69,-2.74,78.68,186,3.39,0
22-03-20,Afghanistan,16,2.01,71,11.72,1.72,78.69,184,5.85,1
23-03-20,Afghanistan,0,54.38,92.84,9.86,5.4,78.3,164,8.02,0
24-03-20,Afghanistan,34,12.34,78.86,7.64,0.58,78.28,91,6.53,0
25-03-20,Afghanistan,10,2.98,78.51,7.36,0.03,78.49,167,5.82,1
26-03-20,Afghanistan,10,2.07,77.13,8.4,-0.28,78.66,164,4.35,2
27-03-20,Afghanistan,16,3.44,70.87,10.29,-1.05,78.63,170,3.18,0
28-03-20,Afghanistan,0,1.16,62.22,12.26,0.49,78.72,175,4.02,0
29-03-20,Afghanistan,10,9.87,70.76,12.61,-0.14,78.66,114,5.93,0
30-03-20,Afghanistan,50,26.83,91.33,9.87,1.93,78.43,93,8,0
31-03-20,Afghanistan,4,5.29,80.28,9.75,1.87,78.4,80,6.7,0
01-04-20,Afghanistan,63,1.06,68.6,10.31,-0.47,78.69,167,4.45,0
02-04-20,Afghanistan,36,0.32,64.69,13.54,-3.11,78.85,184,4.39,2
03-04-20,Afghanistan,8,0.19,64.44,13.92,1.74,78.94,193,2.68,0
04-04-20,Afghanistan,18,24.37,76.19,13.24,2.06,78.81,167,1.45,1
05-04-20,Afghanistan,50,0.51,68.92,14,-1.16,78.86,134,4.39,0
06-04-20,Afghanistan,18,1.89,70.32,11.2,0.16,78.66,157,7.37,4
07-04-20,Afghanistan,56,0,63.19,14.66,-2.25,78.75,152,5.2,3
08-04-20,Afghanistan,21,4.99,70.05,14.98,2.82,78.73,158,5.5,0
09-04-20,Afghanistan,40,1.7,80.65,14.48,4.68,78.74,164,4.48,1
10-04-20,Afghanistan,37,2.3,84.96,14.11,3.5,78.96,109,5.72,0
11-04-20,Afghanistan,34,8.49,86.49,15.56,6,79.18,89,2.26,3
12-04-20,Afghanistan,52,13.91,82.6,16.06,8.17,79.03,107,4.26,0
13-04-20,Afghanistan,58,8.14,82.6,15.78,7.57,78.81,162,6.68,3
14-04-20,Afghanistan,49,8.38,83.46,13.65,4.32,78.63,152,5.65,2
15-04-20,Afghanistan,70,0.21,68.47,14.78,2.56,78.9,155,4.24,2
16-04-20,Afghanistan,56,3.95,70.44,14.2,3.97,78.7,139,4.31,5
17-04-20,Afghanistan,66,5.11,75.93,13.81,4.57,78.44,91,3.56,0
