"","Group.1","x"
"1",1,NA
"2",2,NA
"3",3,NA
"4",4,2.88463065933167
"5",5,26.0970860768593
"6",6,21.3192024230001
"7",7,10.1908735696177
"8",8,11.3807861531067
"9",9,6.45807452247001
"10",10,6.60946146022721
"11",11,7.09893379903059
"12",12,5.0728480659595
"13",13,4.4489694334517
"14",14,4.63531320823149
"15",15,4.90808404597561
"16",16,4.67130357953792
"17",17,4.55546313397193
"18",18,4.70443332233436
"19",19,4.67624273111419
"20",20,4.4604079612091
"21",21,4.02732990954806
"22",22,3.88062232402562
"23",23,3.7910725338502
"24",24,3.72264617812811
"25",25,3.70763596267237
"26",26,3.65787251896403
"27",27,3.60446220511323
"28",28,3.52211179838841
"29",29,3.50575197740275
"30",30,3.44128833838067
"31",31,3.35929696363617
"32",32,3.30352171491955
"33",33,3.24787359083909
"34",34,3.17871061964106
"35",35,3.11612022513382
"36",36,3.05839613920746
"37",37,3.01406515353967
"38",38,2.93818625213942
"39",39,2.86848046902777
"40",40,2.80785279760624
"41",41,2.73382420449735
"42",42,2.64915108589962
"43",43,2.56240456899036
"44",44,2.48347690509266
"45",45,2.43102596935725
"46",46,2.40193830130678
"47",47,2.37734330193919
"48",48,2.35519302022375
"49",49,2.3368153574472
"50",50,2.31490265084178
"51",51,2.30385020088865
"52",52,2.28894349298545
"53",53,2.27339810943593
"54",54,2.26523752093529
"55",55,2.24795987913466
"56",56,2.24072589039751
"57",57,2.25045036393693
"58",58,2.25915034398604
"59",59,2.26625915991537
"60",60,2.2736139864735
"61",61,2.27772947608678
"62",62,2.26939006609363
"63",63,2.25772160048152
"64",64,2.22499103923954
"65",65,2.2061535025793
"66",66,2.19134193775691
"67",67,2.16719805663263
"68",68,2.16246112759889
"69",69,2.16190614891187
"70",70,2.1657661200694
"71",71,2.17107892455792
"72",72,2.16313921796758
"73",73,2.16867384191508
"74",74,2.17525871928809
"75",75,2.18278538627167
"76",76,2.19105260971989
"77",77,2.20000464287929
"78",78,2.2039889902399
"79",79,2.20733201660289
"80",80,2.20874523563147
"81",81,2.20666886887757
"82",82,2.20536403432806
"83",83,2.21238360791226
"84",84,2.20536151459648
"85",85,2.21825730509763
"86",86,2.22641363387535
"87",87,2.22394109678369
"88",88,2.2194632850865
